,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Tuba1b,1,0,1,0,0,0,0,0,0
Nfil3,1,1,1,1,1,0,0,1,1
Ccna2,1,0,0,0,0,1,1,0,0
Kif23,1,0,0,0,0,1,1,0,0
Dsp,1,1,0,0,0,1,1,0,0
Ube2c,1,0,0,0,0,1,1,0,0
Tfap2a,1,1,1,1,1,1,1,1,1
Spi1,1,1,1,1,1,1,1,0,0
Atf3,1,1,0,1,1,0,1,0,1
Yy1,1,0,1,0,0,1,0,1,0
Kif2c,1,0,0,0,0,1,1,0,0
Cdca7,1,0,1,0,0,1,0,1,0
Tyms,1,0,1,0,0,1,0,1,0
Ccnb2,1,1,0,0,0,1,1,0,0
Manf,1,0,1,0,0,1,0,1,0
Aurka,1,0,0,0,0,1,1,0,0
Odc1,1,0,1,0,0,1,0,1,0
Ddit3,1,1,0,1,1,0,1,0,1
Pfkl,1,1,0,0,0,0,0,0,0
P4ha1,1,1,0,0,0,1,0,0,0
Racgap1,1,1,0,0,0,1,0,0,0
Bbc3,1,1,0,1,1,0,0,0,1
Csf2,1,1,1,1,1,0,0,0,0
Smad7,1,1,1,1,1,0,0,0,0
Npc1,1,1,0,0,0,0,0,0,0
Atp2a2,1,0,1,0,0,0,0,1,0
Ppid,1,0,1,0,0,1,0,1,0
Fdft1,1,1,0,0,0,1,0,0,0
Hspe1,1,0,1,0,0,0,0,1,0
Brca1,1,0,1,0,0,1,0,1,0
Cdk6,1,1,0,0,0,1,1,0,0
Cdkn1a,1,1,1,1,1,1,1,0,0
Gata4,1,1,0,1,0,0,1,1,1
Cdk1,1,0,1,0,0,1,0,1,0
Ube2s,1,0,0,0,0,0,0,0,0
Pdgfrb,1,1,0,0,0,1,1,0,0
Zfp462,1,1,0,0,0,0,0,0,0
Cdc45,1,0,1,0,0,0,0,1,0
Cited2,1,1,0,0,0,1,1,0,0
Gata1,1,1,1,1,1,0,0,0,0
